Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.606,-0.369,9.996,-0.976,-3.171,6.159
-0.160,-0.587,10.157,0.244,10.488,4.390
0.000,-0.536,9.988,2.317,16.280,2.988
0.241,-0.680,9.793,0.793,13.049,1.951
0.193,-0.743,9.875,-2.866,6.890,3.415
-0.127,-0.549,10.002,-5.183,4.268,4.756
-0.054,-0.640,9.833,-7.073,4.268,6.220
0.257,-0.857,9.490,-10.427,2.805,8.720
0.187,-0.757,9.505,-12.561,-1.951,10.244
0.076,-0.739,9.591,-15.305,-6.220,12.134
0.199,-0.859,9.782,-21.037,-5.305,12.195
0.748,-0.930,9.889,-20.305,-0.366,9.451
1.271,-1.092,9.849,-19.573,2.378,5.122
0.990,-0.996,9.792,-23.902,0.244,2.073
0.888,-1.050,9.805,-24.817,-4.024,1.402
1.132,-1.205,9.883,-26.768,-5.915,-0.061
0.882,-1.103,9.951,-28.841,-8.232,-1.768
0.641,-0.939,10.237,-29.512,-13.049,-1.402
1.016,-1.185,10.246,-34.268,-12.012,-1.951
0.770,-1.405,9.831,-32.195,-3.902,-6.402
0.029,-1.061,9.765,-32.134,1.159,-7.073
-0.178,-0.867,9.643,-36.585,4.878,-6.037
-0.105,-1.069,9.388,-40.244,8.963,-6.463
-0.330,-0.866,9.561,-40.793,11.463,-6.890
-0.861,-0.578,10.229,-37.378,12.012,-7.134
-1.076,-0.086,11.060,-25.610,16.280,-7.256
-0.760,-0.163,11.039,-19.695,25.366,-6.463
-0.463,-0.546,10.359,-19.268,31.220,-2.866
-0.781,-0.362,9.915,-13.415,33.293,1.890
-0.494,-0.250,9.816,-9.695,28.841,4.817
0.193,-0.495,10.342,-9.451,19.207,4.512
0.630,-0.505,11.065,-7.683,10.793,2.378
0.524,-0.356,11.403,-0.671,5.915,3.049
0.276,-0.390,11.287,11.341,-0.122,6.341
0.002,-0.540,11.099,16.280,-4.512,6.402
-0.017,-0.841,10.943,20.610,-2.012,4.817
-0.059,-0.868,10.976,27.744,6.280,1.829
-0.107,-0.845,10.864,33.415,11.951,-1.037
0.103,-1.081,10.461,36.037,11.890,-1.341
0.259,-1.136,10.086,36.098,13.171,-0.793
0.075,-0.832,9.540,40.732,14.451,0.305
-0.037,-0.720,9.456,40.122,7.683,0.671
0.030,-0.838,9.489,38.293,-3.232,2.378
-0.029,-0.810,9.650,37.073,-7.073,1.585
0.257,-0.809,9.666,34.756,-7.195,1.037
0.846,-1.232,9.292,30.549,-10.305,3.354
0.895,-1.387,9.099,33.354,-8.537,5.061
0.622,-1.090,9.310,33.720,-4.512,2.927
0.523,-1.032,9.439,30.793,-8.232,1.159
0.625,-1.153,9.655,26.280,-10.427,-2.744
0.962,-1.277,9.804,22.683,-7.439,-7.439
1.380,-1.227,9.861,26.646,-2.805,-12.744
1.489,-1.115,9.847,25.427,-2.134,-17.195
1.227,-1.115,9.921,21.646,-8.049,-18.110
0.828,-1.222,9.779,20.549,-15.122,-17.805
0.343,-1.244,9.293,15.183,-20.122,-18.171
0.475,-1.036,9.267,8.476,-23.415,-20.366
1.023,-1.076,9.589,4.268,-20.488,-22.866
1.114,-0.991,9.847,1.646,-14.756,-22.317
0.582,-0.611,10.010,2.866,-16.341,-18.598
0.336,-0.469,9.968,2.927,-22.744,-15.183
0.285,-0.514,9.960,0.122,-17.988,-18.415
0.163,-0.394,10.050,1.707,-6.280,-21.220
0.362,-0.473,9.944,8.354,0.366,-20.427
0.450,-0.357,9.689,13.415,0.732,-19.939
-0.009,-0.059,9.563,12.927,-5.671,-18.415
-0.544,0.141,9.816,6.524,-14.390,-16.646
-0.853,0.432,10.369,2.744,-19.024,-14.634
-0.828,0.418,10.481,4.939,-19.573,-13.171
-0.980,0.365,10.130,11.463,-19.024,-10.366
-1.420,0.639,10.156,7.073,-23.354,-6.159
-1.750,0.919,10.572,4.817,-24.756,-1.890
-1.692,0.970,10.420,12.378,-16.280,0.305
-1.209,0.512,9.805,17.927,-4.695,-0.061
-0.991,0.336,9.328,19.146,3.476,-2.500
-1.259,0.618,9.547,14.695,6.524,-2.073
-1.494,0.929,9.787,13.171,5.976,5.488
-1.659,0.703,9.753,16.220,8.598,14.329
-1.510,0.652,9.634,16.890,13.049,16.890
-1.034,0.850,9.640,16.463,15.122,19.207
-0.556,0.658,10.154,15.488,17.927,22.622
-0.181,0.430,10.157,18.049,19.634,23.537
-0.091,0.165,9.893,16.341,13.171,23.415
-0.083,-0.106,9.595,14.329,5.122,22.195
-0.201,-0.411,9.533,11.220,2.378,20.000
-0.715,-0.552,9.689,6.524,-1.524,18.232
-0.678,-0.186,10.140,0.000,-4.268,17.073
-0.016,-0.181,10.063,-0.549,1.890,17.744
0.306,-0.372,9.612,0.305,7.622,18.902
0.567,-0.494,9.192,-2.256,7.622,19.085
0.945,-0.590,9.145,-8.537,3.598,16.098
0.676,-0.335,9.661,-14.268,-1.829,15.000
0.628,-0.382,10.098,-13.110,-4.573,16.951
0.953,-0.532,10.106,-10.183,-2.012,18.415
1.103,-0.426,10.118,-11.829,2.500,17.622
1.012,-0.408,9.962,-13.476,3.049,15.610
0.575,-0.527,9.644,-12.683,-2.256,17.134
0.219,-0.303,9.805,-17.073,-5.000,19.268
0.104,-0.202,9.992,-18.902,1.098,16.585
0.466,-0.399,9.907,-17.073,9.024,14.573
0.693,-0.787,9.667,-20.366,14.817,11.768
0.571,-0.757,9.499,-20.671,18.537,7.195
0.432,-0.578,9.408,-24.268,17.988,3.293
0.333,-0.573,9.384,-30.061,12.805,1.951
0.040,-0.685,9.521,-31.707,7.683,2.195
-0.271,-0.643,9.762,-40.549,3.598,5.305
0.076,-0.682,9.916,-49.024,3.841,8.293
0.611,-1.001,10.007,-54.695,8.049,6.341
0.960,-1.355,10.217,-59.695,8.476,3.598
1.229,-1.331,10.452,-60.610,10.915,-0.366
0.883,-1.027,10.454,-62.439,15.305,-1.646
0.863,-1.064,10.218,-57.927,13.110,0.610
1.104,-1.336,9.963,-58.780,7.134,1.524
1.177,-1.539,9.993,-71.951,0.549,-0.305
1.418,-1.821,10.159,-78.659,-3.841,-0.793
1.457,-1.590,10.403,-77.073,-7.622,4.878
1.256,-1.243,10.723,-72.012,-10.122,9.146
1.303,-1.132,10.481,-61.646,-7.988,7.500
1.306,-1.350,10.266,-57.866,-7.927,6.098
1.098,-1.298,10.029,-54.939,-11.037,6.951
1.135,-1.321,10.092,-48.110,-11.707,4.390
1.109,-1.396,10.019,-39.634,-7.012,0.183
0.402,-1.390,9.901,-25.305,-0.549,-3.171
-0.171,-1.346,9.889,-13.476,3.902,-5.488
0.432,-1.605,9.749,-8.963,8.415,-6.768
1.006,-1.846,9.662,-0.732,16.890,-10.793
0.976,-1.541,10.126,-3.476,14.024,-13.598
0.936,-1.636,10.241,-3.537,1.768,-9.207
0.447,-1.696,10.130,-1.159,-7.439,-3.232
-0.063,-1.420,10.263,2.073,-9.451,-0.305
-0.256,-1.344,10.264,4.146,-8.110,-1.341
-0.163,-1.438,10.180,7.378,-9.939,-3.537
0.089,-1.484,10.168,8.415,-11.341,-4.695
0.170,-1.499,10.095,11.951,-11.524,-8.049
-0.028,-1.451,10.146,10.976,-12.195,-11.220
-0.297,-1.346,10.307,14.024,-8.841,-12.805
-0.030,-1.462,10.205,18.598,-3.171,-13.720
0.335,-1.481,10.193,20.976,0.000,-13.110
0.209,-1.376,10.192,23.780,-2.134,-11.524
0.117,-1.343,10.311,24.329,-5.732,-11.585
-0.014,-1.346,10.192,27.073,-9.207,-10.854
