Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.076,-0.239,9.938,0.305,0.610,0.183
0.065,-0.232,9.940,0.244,0.549,0.183
0.033,-0.263,9.936,0.183,0.610,0.183
0.049,-0.277,9.940,0.183,0.610,0.183
0.092,-0.244,9.941,0.244,0.549,0.183
0.069,-0.244,9.938,0.244,0.610,0.183
0.034,-0.268,9.935,0.244,0.610,0.183
0.041,-0.256,9.936,0.183,0.549,0.183
0.082,-0.253,9.932,0.183,0.610,0.183
0.072,-0.265,9.934,0.183,0.549,0.183
0.051,-0.259,9.933,0.244,0.549,0.183
0.053,-0.230,9.943,0.244,0.549,0.183
0.068,-0.268,9.944,0.244,0.549,0.183
0.060,-0.261,9.936,0.244,0.549,0.183
0.058,-0.217,9.932,0.244,0.549,0.183
0.077,-0.245,9.937,0.183,0.610,0.183
0.062,-0.285,9.928,0.183,0.671,0.183
0.032,-0.271,9.928,0.244,0.610,0.183
0.041,-0.241,9.949,0.244,0.610,0.183
0.079,-0.238,9.939,0.244,0.610,0.183
0.074,-0.269,9.928,0.244,0.610,0.183
0.046,-0.259,9.947,0.305,0.610,0.183
0.031,-0.253,9.937,0.183,0.610,0.183
0.062,-0.266,9.937,0.183,0.610,0.183
0.071,-0.246,9.925,0.183,0.610,0.183
0.050,-0.259,9.943,0.183,0.610,0.183
0.048,-0.274,9.949,0.244,0.549,0.122
0.056,-0.244,9.936,0.244,0.549,0.183
0.045,-0.260,9.928,0.183,0.549,0.183
0.051,-0.291,9.943,0.244,0.549,0.183
0.076,-0.246,9.933,0.305,0.549,0.183
0.083,-0.219,9.928,0.244,0.610,0.183
0.042,-0.262,9.944,0.183,0.610,0.183
0.037,-0.297,9.946,0.183,0.610,0.183
0.065,-0.226,9.946,0.305,0.610,0.244
0.077,-0.240,9.930,0.244,0.610,0.183
0.047,-0.277,9.940,0.183,0.610,0.244
0.039,-0.260,9.933,0.244,0.549,0.183
0.062,-0.254,9.940,0.244,0.549,0.183
0.053,-0.268,9.947,0.244,0.549,0.183
0.047,-0.275,9.934,0.305,0.549,0.183
0.075,-0.254,9.931,0.305,0.549,0.183
0.093,-0.251,9.938,0.305,0.610,0.183
0.047,-0.246,9.936,0.305,0.549,0.183
0.011,-0.236,9.930,0.305,0.488,0.122
0.062,-0.252,9.946,0.244,0.488,0.183
0.095,-0.252,9.935,0.244,0.549,0.183
0.058,-0.277,9.943,0.244,0.549,0.183
0.032,-0.244,9.940,0.305,0.549,0.183
0.037,-0.250,9.940,0.244,0.549,0.244
0.074,-0.280,9.941,0.244,0.549,0.183
0.072,-0.251,9.933,0.244,0.549,0.183
0.053,-0.227,9.935,0.244,0.549,0.122
0.065,-0.263,9.944,0.244,0.610,0.122
0.045,-0.270,9.946,0.183,0.671,0.183
0.031,-0.268,9.940,0.244,0.549,0.183
0.073,-0.257,9.940,0.244,0.549,0.183
0.089,-0.247,9.944,0.244,0.610,0.122
0.056,-0.240,9.938,0.244,0.610,0.183
0.020,-0.253,9.931,0.183,0.610,0.183
0.038,-0.265,9.939,0.244,0.549,0.183
0.075,-0.247,9.947,0.244,0.610,0.183
0.062,-0.253,9.940,0.244,0.549,0.183
0.048,-0.260,9.941,0.183,0.610,0.183
0.045,-0.270,9.936,0.244,0.610,0.183
0.051,-0.255,9.938,0.244,0.610,0.244
0.042,-0.265,9.935,0.244,0.610,0.183
0.063,-0.256,9.935,0.244,0.610,0.183
0.077,-0.244,9.930,0.244,0.610,0.244
0.038,-0.250,9.938,0.244,0.610,0.244
0.034,-0.262,9.943,0.122,0.610,0.183
0.071,-0.271,9.942,0.122,0.610,0.183
0.078,-0.239,9.944,0.183,0.671,0.183
0.065,-0.245,9.946,0.061,0.671,0.244
0.037,-0.282,9.940,0.061,0.671,0.244
0.049,-0.262,9.946,0.122,0.671,0.244
0.069,-0.257,9.942,0.122,0.671,0.183
0.061,-0.278,9.941,0.061,0.610,0.183
0.078,-0.284,9.942,0.122,0.671,0.183
0.052,-0.236,9.933,0.122,0.671,0.183
0.012,-0.279,9.939,0.061,0.610,0.183
0.013,-0.302,9.944,0.122,0.610,0.122
0.038,-0.264,9.952,0.244,0.610,0.183
0.077,-0.229,9.937,0.183,0.610,0.183
0.090,-0.257,9.934,-0.061,0.793,0.183
0.092,-0.241,9.925,-0.244,0.854,0.183
0.067,-0.330,9.945,-0.183,0.671,0.183
-0.052,-0.347,9.940,0.061,0.671,0.122
-0.073,-0.243,9.940,0.244,0.610,0.183
0.022,-0.244,9.940,0.122,0.610,0.183
0.147,-0.299,9.939,0.061,0.549,0.122
0.181,-0.299,9.931,0.244,0.610,0.183
0.054,-0.259,9.941,0.305,0.610,0.183
-0.023,-0.263,9.943,0.244,0.610,0.183
-0.040,-0.293,9.944,0.244,0.610,0.183
-0.043,-0.299,9.940,0.244,0.610,0.183
0.053,-0.271,9.937,0.183,0.549,0.183
0.188,-0.279,9.930,0.183,0.549,0.183
0.146,-0.280,9.938,0.244,0.549,0.183
-0.008,-0.300,9.934,0.244,0.610,0.183
-0.050,-0.276,9.938,0.305,0.610,0.183
-0.022,-0.272,9.949,0.305,0.549,0.183
0.028,-0.271,9.941,0.244,0.610,0.122
0.116,-0.294,9.930,0.244,0.549,0.183
0.140,-0.268,9.936,0.305,0.488,0.183
0.051,-0.263,9.929,0.244,0.549,0.183
-0.013,-0.283,9.935,0.183,0.610,0.183
-0.028,-0.306,9.944,0.183,0.610,0.183
-0.007,-0.284,9.940,0.305,0.549,0.183
0.069,-0.268,9.932,0.244,0.610,0.183
0.139,-0.282,9.936,0.244,0.549,0.183
0.081,-0.266,9.938,0.244,0.610,0.183
0.019,-0.274,9.940,0.305,0.610,0.183
-0.007,-0.271,9.937,0.244,0.610,0.122
0.002,-0.305,9.939,0.244,0.549,0.183
0.014,-0.271,9.945,0.244,0.549,0.183
0.075,-0.275,9.945,0.305,0.549,0.183
0.118,-0.279,9.934,0.244,0.610,0.183
0.083,-0.274,9.938,0.244,0.610,0.244
0.019,-0.271,9.931,0.244,0.610,0.244
-0.038,-0.289,9.944,0.183,0.610,0.183
-0.017,-0.292,9.942,0.244,0.610,0.122
0.044,-0.265,9.936,0.305,0.488,0.183
0.086,-0.284,9.932,0.183,0.549,0.244
0.125,-0.275,9.939,0.183,0.610,0.183
0.077,-0.290,9.954,0.244,0.549,0.183
0.006,-0.291,9.941,0.244,0.549,0.183
-0.027,-0.289,9.928,0.244,0.549,0.183
-0.019,-0.281,9.941,0.244,0.549,0.183
0.047,-0.287,9.942,0.244,0.549,0.183
0.114,-0.289,9.943,0.305,0.549,0.183
0.101,-0.273,9.947,0.244,0.549,0.183
0.032,-0.269,9.944,0.244,0.549,0.183
0.005,-0.296,9.931,0.183,0.549,0.244
-0.004,-0.283,9.934,0.305,0.549,0.183
0.019,-0.282,9.937,0.244,0.549,0.183
0.062,-0.284,9.944,0.244,0.610,0.183
0.114,-0.292,9.938,0.244,0.549,0.183
0.096,-0.269,9.942,0.244,0.549,0.183
0.024,-0.269,9.936,0.244,0.610,0.244
-0.019,-0.290,9.943,0.244,0.610,0.244
0.001,-0.297,9.940,0.244,0.549,0.244
0.038,-0.281,9.937,0.244,0.549,0.183
0.086,-0.286,9.930,0.244,0.549,0.183
0.104,-0.291,9.927,0.244,0.549,0.183
0.070,-0.281,9.948,0.244,0.549,0.183
0.018,-0.281,9.940,0.244,0.549,0.183
-0.010,-0.287,9.938,0.244,0.549,0.183
-0.003,-0.283,9.931,0.244,0.610,0.183
0.048,-0.277,9.935,0.244,0.549,0.183
0.090,-0.283,9.945,0.244,0.549,0.122
0.081,-0.271,9.939,0.183,0.549,0.183
0.047,-0.283,9.942,0.183,0.549,0.183
0.035,-0.286,9.945,0.244,0.610,0.122
0.001,-0.282,9.935,0.183,0.549,0.122
0.015,-0.279,9.931,0.244,0.610,0.183
0.055,-0.286,9.938,0.244,0.549,0.244
0.083,-0.283,9.932,0.244,0.549,0.183
0.093,-0.266,9.929,0.244,0.549,0.183
0.047,-0.279,9.916,0.183,0.610,0.244
0.007,-0.287,9.938,0.183,0.549,0.183
0.006,-0.286,9.928,0.244,0.610,0.183
0.031,-0.278,9.940,0.244,0.610,0.183
0.054,-0.279,9.948,0.244,0.549,0.183
0.074,-0.293,9.931,0.244,0.549,0.183
0.074,-0.288,9.937,0.244,0.610,0.183
0.040,-0.279,9.941,0.244,0.610,0.183
0.012,-0.289,9.947,0.244,0.549,0.183
0.005,-0.281,9.940,0.244,0.610,0.183
0.031,-0.277,9.933,0.244,0.549,0.183
0.083,-0.281,9.949,0.305,0.549,0.183
0.065,-0.263,9.937,0.244,0.549,0.183
0.038,-0.281,9.946,0.183,0.610,0.183
0.019,-0.298,9.941,0.183,0.610,0.183
0.017,-0.271,9.943,0.244,0.549,0.183
0.022,-0.276,9.948,0.244,0.549,0.183
0.061,-0.300,9.940,0.244,0.549,0.122
0.084,-0.277,9.934,0.244,0.610,0.183
0.077,-0.289,9.940,0.244,0.549,0.244
0.022,-0.285,9.935,0.183,0.610,0.183
0.025,-0.312,9.957,0.305,0.610,0.183
0.038,-0.290,9.931,0.366,0.549,0.183
0.028,-0.244,9.937,0.305,0.549,0.183
0.053,-0.280,9.951,0.183,0.549,0.244
0.060,-0.275,9.943,0.183,0.549,0.183
0.063,-0.302,9.941,0.122,0.549,0.244
0.032,-0.285,9.938,0.244,0.549,0.183
0.034,-0.286,9.953,0.244,0.549,0.183
0.031,-0.274,9.934,0.244,0.549,0.183
0.060,-0.288,9.899,0.244,0.610,0.183
0.102,-0.312,9.957,0.427,0.610,0.244
0.064,-0.253,9.932,0.366,0.610,0.183
0.014,-0.277,9.950,0.244,0.610,0.122
-0.045,-0.266,9.929,0.122,0.549,0.122
-0.031,-0.307,9.944,0.122,0.488,0.183
0.040,-0.271,9.941,0.183,0.549,0.122
0.139,-0.298,9.943,0.183,0.549,0.122
0.153,-0.263,9.933,0.183,0.549,0.183
0.047,-0.281,9.951,0.244,0.610,0.183
-0.022,-0.286,9.956,0.244,0.610,0.183
-0.041,-0.312,9.934,0.244,0.610,0.122
-0.020,-0.278,9.932,0.305,0.610,0.183
0.063,-0.275,9.946,0.244,0.610,0.183
0.151,-0.272,9.936,0.244,0.549,0.122
0.108,-0.283,9.929,0.183,0.549,0.183
0.001,-0.277,9.930,0.244,0.610,0.183
-0.029,-0.294,9.937,0.244,0.610,0.183
-0.017,-0.296,9.943,0.244,0.610,0.183
0.032,-0.280,9.937,0.183,0.549,0.183
0.092,-0.284,9.932,0.244,0.549,0.183
0.128,-0.278,9.932,0.244,0.610,0.183
0.062,-0.279,9.935,0.305,0.610,0.183
-0.013,-0.280,9.947,0.244,0.610,0.183
-0.031,-0.292,9.945,0.244,0.610,0.183
-0.001,-0.275,9.940,0.244,0.549,0.183
0.053,-0.290,9.937,0.183,0.549,0.183
0.121,-0.298,9.932,0.183,0.610,0.183
0.099,-0.287,9.934,0.305,0.610,0.183
0.020,-0.278,9.931,0.305,0.610,0.183
0.017,-0.290,9.946,0.366,0.610,0.183
0.015,-0.286,9.947,0.305,0.549,0.244
0.013,-0.273,9.951,0.305,0.610,0.244
0.041,-0.266,9.943,0.183,0.610,0.183
0.057,-0.281,9.936,0.122,0.488,0.122
0.065,-0.283,9.944,0.183,0.488,0.183
0.059,-0.284,9.944,0.183,0.549,0.183
0.051,-0.307,9.935,0.183,0.549,0.122
